==8245== NVPROF is profiling process 8245, command: python3 deploy3.py
==8245== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==8245== Profiling application: python3 deploy3.py
==8245== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
13.9502s  12.812us                    -               -         -         -         -  1.0039KB  76.520MB/s      Device           -  NVIDIA Tegra X1         1         7  [CUDA memset]
13.9510s  2.2920us                    -               -         -         -         -        1B  426.07KB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
13.9526s  20.365us              (1 1 1)      (1024 1 1)         9        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1) [388]
13.9532s  6.8750us                    -               -         -         -         -        1B  142.04KB/s      Device    Pageable  NVIDIA Tegra X1         1        22  [CUDA memcpy DtoH]
13.9556s  2.2910us                    -               -         -         -         -        8B  3.3302MB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
13.9572s  2.2920us                    -               -         -         -         -        1B  426.07KB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
13.9575s  15.520us              (1 1 1)      (1024 1 1)         9        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1) [405]
13.9578s  6.8750us                    -               -         -         -         -        1B  142.04KB/s      Device    Pageable  NVIDIA Tegra X1         1        22  [CUDA memcpy DtoH]
13.9602s  2.2920us                    -               -         -         -         -        1B  426.07KB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
13.9607s  14.897us              (1 1 1)      (1024 1 1)         9        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1) [417]
13.9611s  4.4790us                    -               -         -         -         -        1B  218.03KB/s      Device    Pageable  NVIDIA Tegra X1         1        22  [CUDA memcpy DtoH]
14.0451s  67.552us              (2 1 1)      (1024 1 1)        32        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>) [424]
14.0452s  2.2920us                    -               -         -         -         -        4B  1.6644MB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.0455s  2.2910us                    -               -         -         -         -        4B  1.6651MB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.0463s  19.895us              (1 1 1)      (1024 1 1)        23        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_difference_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, long>(float, int=1) [438]
14.0695s  21.615us              (1 1 1)      (1024 1 1)        17        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_product_op<float, float>, bool=0>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [439]
14.0700s  21.563us              (1 1 1)      (1024 1 1)        17        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_sum_op<float, float>, bool=0>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [440]
14.0710s  2.2920us                    -               -         -         -         -        1B  426.07KB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.0713s  16.042us              (1 1 1)      (1024 1 1)         9        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1) [446]
14.0717s  4.4790us                    -               -         -         -         -        1B  218.03KB/s      Device    Pageable  NVIDIA Tegra X1         1        22  [CUDA memcpy DtoH]
14.0839s  2.2920us                    -               -         -         -         -        4B  1.6644MB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.0849s  19.167us              (1 1 1)      (1024 1 1)        14        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_const_op<float>, Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1) [500]
14.0854s  2.2910us                    -               -         -         -         -        1B  426.26KB/s    Pageable      Device  NVIDIA Tegra X1         1        21  [CUDA memcpy HtoD]
14.0857s  18.073us              (1 1 1)      (1024 1 1)         9        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        20  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1) [506]
14.0861s  8.6460us                    -               -         -         -         -        1B  112.95KB/s      Device    Pageable  NVIDIA Tegra X1         1        22  [CUDA memcpy DtoH]
